,role,firm,location,jd,time_ago
20,Business Analyst (BI Developer)/Business Analyst (BI Developer),Bangkok Dusit Medical Services Public Company Limited,Huaykwang,Business AnalystBI DeveloperData Analyst,20h ago
21,IT Data Analyst (1-Year Contract),Reckitt Benckiser (Thailand) Ltd.,Wattana,IT Data AnalystProject ManagementKnowledge in BI Analytics Systems and platforms,15h ago
22,Data Analyst (hatch by EGG Digital),"Ascend Group Co., Ltd.",Bangkok,Data AnalystConsumer insightsFMCG business,20h ago
23,Data Analyst Manager,PRTR,Bangrak,Logistics ProviderData Analyst ManagerCompetitive Salary Plus Benefits,20h ago
24,Data Scientist,"Toyota Leasing (Thailand) Co., Ltd.",Bangrak,"Data Scientist, Data Mining, Machine learningDevelop insights and data visualizationsPython, R Language, SAS, SQL",4h ago
25,Sales Force Effectiveness (SFE)/Data Analyst,Zuellig Pharma Ltd.,Pathumwan,Sales Force EffectivenessSFEData Analyst,20h ago
26,Data Scientist,"Teo Hong Silom Co., Ltd.",Bangrak,"Experience in Data Scientist, BI, or Data AnalyticKnowledge in machine learningProficiency in SQL",7h ago
27,Business Insights Analyst,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Business insight , Business AnalyticsData driven solutions and problem-solving abilitiestatistics and machine learning  programming",5d ago
28,Senior Data Analyst,"Delivery Hero (Thailand) Co., Ltd.",Huaykwang,4 years experiences working in data / analyticsStrong knowledge of Python/R is a mustFluency in English and Thai,20h ago
29,IT Software / System Data Analyst (New graduate),"Mitsubishi Motors (Thailand) Co., Ltd.",Klongtoey,"FYI Center, MRT QSNCC, Klongtoei, 5 working daysPython, R, MS Power BI, UiPathNew graduate in Computer Science/Engineering field",20h ago
30,Data Analyst,Kerry Express (Thailand) Public Company Limited,Bangrak,Data AnalystPower BIBusiness Analysis,4d ago
31,Data Analyst,dentsu,Bangrak,"Flexible working hourHybrid workGroup Health Insurance, Provident Fund",6d ago
32,Business Intelligence Analyst,"Mitr Phol Sugar Corp., Ltd.",Klongtoey,"BI tools in the market,Power BI (a must),TableauProblem-solving skill with confidentTOEIC 450+",6h ago
33,Financial Analyst/นักวิเคราะห์การเงิน,Bangchak Corporation Public Company Limited,พระโขนง,จัดทำ Financial Model เพื่อใช้ในการวางแผนกลยุทธ์ดูแลเรื่องการจัดหาเงินทุนติดตามสถานการณ์ของตลาดการเงินของไทยและต่างประเทศ,5h ago
34,Location Strategy Manager - Data Analysis,Lotus's,บึงกุ่ม,"Expertise and passion for data and data analysisExperience in GIS or Predictive ModelingExperience in data analysis, data science",20h ago
35,Data Scientist,LINE MAN Wongnai,Klongtoey,"Strong SQL skills, especially in the area of dataGood command of English is a big plus3+ years on hand-on development coding",20h ago
36,Data Analyst (Asst Manager level),PRTR,Bangkok,"3+ Yrs Experiences as Data Analyst or RelatedGood SQL Skill, SQL Scripting, Oracle DatabaseGood English Skills (Work w/ Regional Countries)",15h ago
37,Business Intelligence,"King Power Click Co., Ltd.",ราชเทวี,,15h ago
38,Business Performance & Data Analysis Manager (shop in shop),Lotus's,บึงกุ่ม,"Develop KPI & Performance, Shop In Shop and CPFMAnalyze multi-dimensional PerformanceExperiences in Business Analysis and Planning",20h ago
39,Data scientist (Internship),"King Power Click Co., Ltd.",ราชเทวี,,15h ago
40,Business Analyst (MIS),"Siam Commercial Bank Public Co., Ltd.(Project 2)",Jatuchak,"Business Analyst, ITBanking Business Knowledge-",9h ago
41,Data Analysis,Siriraj Piyamaharajkarun Hospital,บางกอกน้อย,,2d ago
42,Data Analysis/วิเคราะห์ข้อมูล,"iGettrading Co., Ltd.",วังทองหลาง,,3d ago
43,Business Analyst (BA) / Business Consultant,PIESOFT Company Limited,พญาไท,,3d ago
44,Commercial Analyst,Thaioil Energy Services Company Limited,Jatuchak,"Bachelor or higher in Economics,Chemical EngineerBackground in research, management consulting.Good command of English and computer literacy.",20h ago
45,New! Data Engineer,KASIKORN Business - Technology Group (KBTG),ปากเกร็ด,"Skill in Big Data, ETL/ELT, Hadoop, etc.We provide intensive training classFresh Grad is welcome",15h ago
46,HRIS Analyst,BHIRAJ BURI COMPANY LIMITED ( BHIRAJ ),บางนา,Conducts HR data analysisInternal HRIS processover 2 years experiences,3h ago
47,Data Business Analyst (hybrid working),Krungsri Bank (Bank of Ayudhya PCL.),ยานนาวา,"Experience in the data analyticsExperience in the business analyticsTableau, Qlink, PowerBI or Rapid Miner",4d ago
48,Lead Consultant (Data Analytics),"Bizcuit Solution Co., Ltd.",Wattana,,20h ago
49,Business Intelligence Analyst,"MY PEOPLE Co., Ltd.",สะพานสูง,Business IntelligenceDatabase QueriesData Analytic,4d ago
50,Business Analyst,"CHOCO CARD ENTERPRISE CO., LTD.",พระโขนง,,10h ago
51,Customer and Marketing Analyst,Siam City Cement Public Company Limited,Klongtoey,Market Analyst/ market insightData intelligence/ Analytic skillExcellent English communication,20h ago
52,Data Scientist,LINE Company (Thailand) Limited,Pathumwan,5+ years of machine learning & data scientist exp.Experience with the Hadoop ecosystemStrong SQL skills,20h ago
53,Data Scientist,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"statistical programming  (e.g., Python, R,pandas)database software (e.g., SQL, PySpark)hypothesis testing, regression, machine learning",5d ago
54,MIS and Data Analytics Lead (AVP to FAVP Level),Krungsri Consumer,Pathumwan,"Skills :Microsoft Access, Power BI/Tableau,PL/SQLSupport the MKT Campaigns for analysis & trackingGood team and environment",7h ago
55,Data Analyst,"Central JD Fintech Co., Ltd.",Pathumwan,Proficient in SQL and Python/R/SparkHands on experiences using visual analytics toolKnowledge in Data analytics,4d ago
56,Data Science,Dentsu (Thailand) Ltd.(Iprospect),Bangrak,Data ScienceData AnalystData,20h ago
57,Marketing Analyst,"FUJIFILM Business Innovation (Thailand) Co., Ltd.",Jatuchak,experience in product managementGathering and analyzing dataplanning to tactical activities.,12h ago
58,Software Developer/ DevOps/ System Analyst/ Data Engineer / Data Scientist/ ABAP/ SAP/ Scrum Master,"Pantheon Corporation (Thailand) Co., Ltd.",Bangkok,".NET Core, C#, JAVA Script, SQL, ASP.NET, SpringAPI, Cloud Infrastructure, Azure, Amazon, BISoftware Developer, Data Analyst, SAP, Cloud, AWS",20h ago
59,Finance Business Partner – Product (Data Analytics support Tao Gae BD),Lotus's,บึงกุ่ม,"Data analysis, Interpret dataDevelop, implement data collection systemsExperiences in finance and accounting and report",20h ago
60,Junior Business/Data Analyst,CET Marketing And Distribution Company Limited,Bangkoknoi,,4d ago
61,Quality Management Engineer (Data Analyst),"Continental Tyres (Thailand) Co., Ltd.",Rayong,Provide the data analysis resultsInvolve in Problem Structure Solving activityProvide ideas about process improvement,1d ago
62,Data Modeling Assistant Manager (Data Scientist),NES Fircroft (Thailand) Ltd.,Bangkok,"7 years of experience in data and/Business Analystonline analytical processing, and ETL frameworkBI tools, SQL, SASS, Python",20h ago
63,IS Data Analyst,"Dextra Asia Co., Ltd.",Pathumwan,PowerBI & Data analysisApplications DevelopmentLocation: BTS-Ratchadamri or MRT-Silom,2d ago
64,Senior Data Scientist/นักวิทยาศาสตร์ข้อมูล,Baania (Thailand) Company Limited,Pathumwan,,20h ago
65,Customer Value Management Analyst,Krungsri Consumer,Pathumwan,"Data Analysis, Business Analysis, SQL, LoanGood remuneration package and career growthWork Location: KSPT Building, BTS Ploenchit Exit 5",12h ago
66,Business Intelligence Manager,NES Fircroft (Thailand) Ltd.,Bangkok,"data and/or business analystDBA Management system/online analytical processBI tools, SQL, SASS, Python",20h ago
67,Senior Data Operation (MSyne Innovations - MFEC Group of Company),MSyne Innovations Company Limite,Jatuchak,Data Operations ManagementData IntegrationHybrid work,20h ago
68,Data Analyst (Technology Team),"TD Tawandang Co., Ltd.",Bangrak,"Data Analyst and Data VisualizationFMCG and RetailTableau, SQL",3d ago
69,Business Analyst - Transformation,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Business Analyst, Product ownerAgile principles and process ImprovementInnovative thinker,Transformation",15h ago
70,Business Analyst,Brink’s Global Technology Limited (Head Office),Thonburi,Bachelors or Master's degree in Computer ScienceMinimum 3 years experiences in system analystStrong analytical and troubleshooting skills,20h ago
71,Junior Data Engineer,Coforge Limited,Bangsue,"Data Engineer 2-3 years of experienceData Warehouse/ Data science for enterprisePython, SQL",15h ago
72,Business Analyst,Lockton Wattana Insurance Brokers (Thailand) Ltd.,Bangrak,"Project Management, Design and Business ProcessUnderstand & Translate Business RequirementKnowledge in insurance is and advantage",20h ago
73,IT - Data Scientist,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Yannawa,"PL/SQL database and big data ConceptsHadoop, Spark, Hive or PythonData Science",2d ago
74,Consumer Insight Analyst (Senior Level),"Bizcuit Solution Co., Ltd.",Wattana,,20h ago
75,Quantitative Analyst/Quantitative Analyst,Prota Light Capital,Bangrak,,5h ago
76,Customer Intelligence Analyst - Waste Management,Siam City Cement Public Company Limited,Klongtoey,Delivering waste management customer insightsIdentifying Potential Market/CustomerAble to visit upcountry and landfill environment,15h ago
77,Data Scientist,MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,Data ScientistProven experience as a Data Scientist/Data AnalystGood English communication,20h ago
78,Business Analyst,"SRISAWAD POWER 2014 CO., LTD.",Laksri,"Bachelor’s degree in Computer Science, or IT3-7 years of work experience as business analysStrong communication and coordination skills",20h ago
79,Finance Manager – Data Analytics,Lotus's,Beungkum,"Data visualization tools, Tableau, Power BIData analytic programs, VBA, Access, SQLExperiences in management accounting and report",20h ago
80,Digital Data Analytic,Bank of Ayudhya Public Company Limited (Ayudhya Capital Auto),Pathumwan,"Experience in enterprise data warehouseGood programming skill in Python, SQL, RVery good in English",4d ago
81,Programmatic Analyst Executive/Senior,ANYMIND (THAILAND) LIMITED,Wattana,Digital MarketingProgrammaticExcel Skill,10h ago
82,Logistic Analyst,Indorama Ventures Global Services Limited (Head Office),Wattana,Sales SupportLogistic Data CollectingGood English Communication skills,20h ago
83,Business Analyst (Kafka),MFEC Public Company Limited,Jatuchak,Experience in SQLAnalyst on customer business requirementsManage projects as required,20h ago
84,Business Analyst,Chromalloy (Thailand) Ltd.,lamlookka,"3-5 years in financial business analystOperation's expenditures, cost effectivenessExcellent analytical skills, details oriented",20h ago
85,Home Broadband Data Analytics (Asia Pacific Region),"Huawei Technologies (Thailand) Co., Ltd.",Pathumwan,Basic understanding on Fixed Broadband NetworkAble to travel in Asia-Pacific countriesEnglish and Chinese proficiency,5h ago
86,Business Analyst,"WIRELESS OPERATION AND PAYMENT CO.,LTD",Sathorn,,1d ago
87,Business Analyst,"Nemera International Co., Ltd.",Bangkok,At Least 2 years experience in IT Business AnalystAble to analyze Requirements to find solutionsWork in Office ( MRT Phetchaburi),15h ago
88,Business Performance and Analytics  (ShopeeFood),"ShopeePay (Thailand) Co., Ltd.",Bangkok,"Strong SQL, Tableau, and Google SuitesConfident in processing and analyzing complex dataFood Delivery",20h ago
89,Business Intelligence (Assistant Manager or Manager Level),"Kiss of Beauty Co., Ltd.",Wattana,Minimum 3 years of experience in data analyticsAbility to execute multiple projects at one timePrevious experience in an e-commerce environment,15h ago
90,CRM Data Executive/นักวิเคราะห์ข้อมูลและลูกค้าสัมพันธ์ชำนาญการ,Lalin Property Public Company Limited,บางกะปิ,"CRM Customer AnalysisBig Data, Data AnalystDatabase Design, Data flow",10h ago
91,MIS - Digital Data Analyst,"Citibank , N.A.",Wattana,MISData AnalystAssist with Customer Service,3d ago
92,Junior Data Analyst– Working with global FinTech company,Cathcart Associates Asia Recruitment Ltd.,Bangrak,"Salary up to 50,000 THB + Excellent benefitsExpert in Tableau (visualization/calculation)Strong in both SQL and Python",3d ago
93,Functional Analyst / Business Analyst (Mid – Senior) – DataX,"Siam Commercial Bank Public Co., Ltd. (Project 5)",Jatuchak,"Design of Business Intelligence SolutionsBusiness analysis and Data Driven ManagementExperience Banking, Financial services , Telcom",6h ago
94,"Business Analyst/System Analyst, Mobile Banking",Bangkok Bank Public Company Limited,Bangrak,Degree in IT/ Engineer/Computer Science1 year experience in Business AnalystCoding Experience in .NET/Java/iOS and Android,20h ago
95,Business Analyst (Point of Sales),Central Retail Corporation Ltd. (Central Technology Office),Bangrak,Gathering Business RequirementFunctional and Technical expertiseBusiness Process Design,20h ago
96,Business Analyst/System Analyst,TISCO Financial Group Public Company Limited,Sathorn,"ให้โอกาสรู้จริง ทำจริง รู้กว้าง รู้ลึกทำงานกับกลุ่มสถาบันการเงินที่มั่นคงสวัสดิการดี  มีโบนัส ใกล้ BTS ศาลาแดง,MRT สีลม",15h ago
97,Data Scientist/Data Analyst,"TALENTVIS RECRUITMENT (THAILAND) CO., LTD.",วังทองหลาง,"Skill in Data Analytics, Data Mining, Data ScienceBi tool such as Tableau, PowerBI and BigQuery.Computure language SQL, PHP and Python.",3d ago
98,Data Analyst,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),พญาไท,"1-2 years experience in Data analytic fieldData Cleaning / Preparation / VisualizationSQL, Python / Tableau / PowerBI",5d ago
99,Data Analyst,Bookaway,Wattana,,4d ago
100,Power BI Developer,"Yusen Logistics (Thailand) Co., Ltd.",Klongtoey,"Experienced in Power BI developmentFamiliarity with BI technologiesKnowledge of SQL queries, DAX",12h ago
101,Data Analyst – Analysing customer insights with cutting-edge CRM tool,Cathcart Associates Asia Recruitment Ltd.,Bangrak,"Salary up to 60,000 THB + BenefitsWorking with CRM-Saleforce and Google AnalyticsKeen to work in a consulting firm",4d ago
102,Senior Data Analyst,TMBThanachart Bank or ttb / ทีเอ็มบีธนชาต หรือ ทีทีบี,Jatuchak,Data analysisAnalytics Tools: Mainly Excel / SASCredit product knowledge is preferred,5d ago
103,Business Analyst (BA),Central Retail Corporation Ltd. (Central Technology Office),Bangrak,Understand and Translate Business RequirementDevelop BusinessDesign and Business Process,20h ago
104,Market Analyst,"HMC Polymers Co., Ltd.",Sathorn,"Polymer or Petrochemical or Chemical ScienceGood systematic thinking, analyticalKnowledge of other language",15h ago
105,System Analyst,"Elabram Recruitment Co., Ltd.",Sathorn,System Analyst / Developer (6+ years)Good benefit / Good packageOracle 6i / PL-SQL,5h ago
106,Data Analyst,Central Pattana Public Company Limited,Pathumwan,"Degree in Statics, Applied statics,FinanceExperience in data analysisCommand of spoken and written English",5d ago
107,Data Analyst/เจ้าหน้าที่วิเคราะห์ข้อมูล,"JORAKAY CORPORATION CO., LTD.",สะพานสูง,วิเคราะห์ข้อมูลData AnalystStatistics,4d ago
108,Business Workflow Analyst,FUJIFLIM Business Innovation Thailand,Jatuchak,project managementBusiness Workflow Analystbusiness solution revenue,4h ago
109,Data Analyst,"Aksorn Charoentat Act Co., Ltd.",พระนคร,มีประสบการณ์การใช้ Database Management System Toolมีประสบการณ์การใช้ BI ToolsPython (optional),5d ago
110,Performance Analyst,"NAMSILPTHAI CO., LTD.",Bangkok,Strong analytical skillsGood communication and interpersonal skillsDetails oriented and drive for the result,20h ago
111,Data Platform Analytics Specialist,ttb spark - TMBThanachart Bank or ttb,Jatuchak,"Design & develop analytic models and dashboardsPlatform Analytics , Digital PlatformAnalytic models, dashboards, and visualizations",2d ago
112,BI & Data Analyst,Thai Life Insurance Public Company Limited,ดินแดง,Work from HomeNear by MRT ศูนย์วัฒนธรรมFlexible working hours,4d ago
113,Business Analyst,Prudential Life Assurance (Thailand) Public Company Limited,Pathumwan,Working in International CompanyAgile culture and Hybrid workingExcellence employee benefit,3d ago
114,Financial and Business Analyst / นักวิเคราะห์การเงิน / ธุรกิจ,EASTERN SUGAR & CANE PUBLIC COMPANY LIMITED,Bangrak,รายงานศึกษาความเป็นไปได้ของโครงการติดตามผลโครงการลงทุนวิเคราะห์ผลประกอบการ ราย BUSINESS UNIT,6h ago
115,Business Analyst,SC Asset Corporation Public Company Limited,Jatuchak,Consultingprocess improvementsystem implementation,20h ago
116,Business Analyst Manager/ผู้จัดการฝ่ายวิเคราะห์ธุรกิจ,Frasers Property Home (Thailand) Company Limited,Bangkok,Feasibilities study experiencedArchitecture experiencedMarketing experienced,20h ago
117,Finance Analyst - Channel,Lotus's,บึงกุ่ม,"Growth analysis and ad hoc analysis as requiredManage complex data requirementExperience as a data engineer, SQL",20h ago
118,Data Analysis/Data Analysis,G-Able Company Limited,Bangkok,Work from Anywhere + flexible hourHelps to establish a high-performing agile teamAmazing tech company for 21st-century generatio,5d ago
119,Data Analyst,Advanced Info Service Public Company Limited (AIS),พญาไท,จัดทำและวิเคราะห์รายได้หาแนวทางการตรวจสอบเพื่อลดการสูญเสียของรายได้ตรวจสอบความครบถ้วน ถูกต้องของการคำนวนค่าบริการ,4d ago
120,Data Analytic Internship/นักศึกษาฝึกงาน,TUV SUD (Thailand) Limited,Chonburi,Internship for Data AnalyticManage and support all reportData & Analytics Innovation,3d ago
121,เจ้าหน้าที่วิเคราะห์ข้อมูล ( ประจำสาขาพระราม 3)/Data Analyst Officer,"Tawandang German Brewery Co., Ltd.",Yannawa,,4d ago
122,Business Data Analyst,"iTopPlus Co., Ltd.",Dindaeng,Experience as Data AnalystUnderstand in SQL or database and Power BIExperience as Data Studio,4d ago
123,Data Analyst/Data Scientist (Chonburi),michelin,Chonburi,MULTINATIONAL COMPANY5 WORKING DAYS(Mon-Fri)SELF-DRIVEN CAREER CULTURE,4d ago
124,Data Scientist,"FUJITSU (THAILAND) CO., LTD.",Klongtoey,Driving data modelling and testingExperience using analytic toolsExperience working with large data sets,4d ago
125,Senior Pricing Analyst,"Electrolux Thailand Co., Ltd.",Bangkok,"Pricing, Volume and Mix AnalysisCommercial Finance Business Partner for SEAGood English proficiency",20h ago
126,RFQ Product Cost Analyst (Jr. / Sr.),"Fabrinet Co., Ltd.",Klongluang,Cost EngineerProduct Analyst / Cost AnalystProject analysis / Quotations,20h ago
127,Channel Analytics - Digital Banking,Bangkok Bank Public Company Limited,Bangkor-laem,Customer AnalyticsData AnalyticsDigital Banking Analytics,20h ago
128,Junior Business Analyst,Rabbit Care Company Limited,Klongtoey,Business AnalystGood Command of EnglishLocation: MRT Lumpini / 5 working days,4d ago
129,BI Consultant/ Data Analyst,A-HOST Company Limited,Phayathai,,4d ago
130,IT Business Analyst,"SCB TECH X CO., LTD.",Jatuchak,Understanding of customer's business strategy.Understanding of business requirement.Hybrid Working Style,15h ago
131,Data Analytics and Execution (SCB Connect),"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Customer insights managementKnowledge ChatbotProactive data analytics,5d ago
132,"Assistant Manager, Business Data Analyst (Mobile Phone)","Thai Samsung Electronics Co., Ltd.",Yannawa,Data analytics / Good in Excel Pivot VlookupReporting/Business Intelligence/Business AnalystMin  3+ Years of work exp / Use English at work,4d ago
133,Business Analyst - Specialist I,"Robert Bosch Automotive Technologies (Thailand) Co., Ltd.",Rayong,Bachelor or higher Degree in  Accounting3-5 years experience in ControllingExcellent in Excel,2d ago
134,"Business Analyst (IT) Site :Bangkok ,Rayong",PTT Digital Solutions Company Limited,Jatuchak,At least 2 years exp in Business analyst (IT)Finding Talents as BA to run this unit more fasterGPA at least 2.75,20h ago
135,People Manager - Insight (Data Analyse),Lotus's,Beungkum,Analysis people data to interpret movement trendBuild data sources and use analytics toolsExperience in big data analysis and reporting,4d ago
136,Business Analyst / System Analyst,"Tri Petch IT Solutions Co., Ltd.",Jatuchak,5 Day-Work / Hybrid Working / FlextimeHealth & Dental Insurance/ Excellent BenefitsMRT Phahonyothin / BTS Phahonyothin24,20h ago
137,Data Analyst (Manager Level),Noble Development Public Company Limited,Pathumwan,Bachelor’s degree in Computer ScienceData Analyst / Data Analytics / Data AssurancesDatabase Queries,4d ago
138,"Supervisor, Production (Data Analyst)",PANDORA,Pravet,Drive KPI with Data AnalystDelivered product on time+highest quality standardDaily shop floor presence face real problem,6d ago
139,Manager - Business Intelligence & Sales Management,Prudential Life Assurance (Thailand) Public Company Limited,Bangkok,Design tools and streamline reportMonitor mechanism to trigger performanceTranslate data into action,20h ago
140,Analyst Performance Management,Siam Makro Public Company Limited,Suanluang,"2 years related logistics and analysis experienceGood skill in Microsoft Excel, PowerPointExperience in the rental, fleet or logistics indus",20h ago
141,Data Analytics / Senior Data Analytics/นักวิเคราะห์ข้อมูล / นักวิเคราะห์ข้อมูลอาวุโส,PTG Energy Public Company Limited,Huaykwang,Data AnalysisData AnalyticBig Data,4d ago
142,Business Analyst (Data Analyst) - Social Media Account,Teledirect Telecommerce (Thailand) Ltd.,Bangrak,Business AnalystData AnalystTableau,4d ago
143,Associate – Assurance Professional Support,PricewaterhouseCoopers ABAS Ltd. (PwC),Sathorn,"Develop and implement BI Report,data collectionBachelor’s Degree in Computer Sciences/IT related2 years experience in data analysis or application",20h ago
144,Data Scientist,Accenture Thailand,Bangkok,Data Scientist in consulting firmNew and advanced tools & tecnnologiesFlexible working time and place,4d ago
145,Associate Information Services Analyst (Financial Services Group),"SS&C Technologies, Inc. (SS&C)",Wattana,"Strong English an advantage, training availableFlexible approach to Working from homeExcellent benefits, Medical, Flexible time off",20h ago
146,Data Engineer,"Finnomena Co., Ltd.",Pathumwan,,20h ago
147,Data Engineer Team Lead,Thaivivat Insurance Public Company Limited,Dindaeng,"Looking for a savvy data engineerWorking closely with machine learning expertExperience in data pipeline,ETL using SQL, Python",4h ago
148,Data Engineer,LINE MAN Wongnai,Klongtoey,"2+ years experience in custom ETL design2+ years on hand-on development codingStrong SQL skills, especially in the area of data",20h ago
149,Economist - นักเศรษฐศาสตร์,"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Analyst by using Data AnalyticsAble to insights Economic articles for publicationOutstanding analytical industry or equity research,3d ago
150,Data Engineer,"Siam Commercial Bank Public Co., Ltd.(Project 2)",Jatuchak,"Big Data, Create and Maintain DashboardsLanguages: SAS, Python, SQLTools: Power BI, Tableau",9h ago
151,Warranty Data Analyst,"Mitsubishi Motors (Thailand) Co., Ltd.",lamlookka,"Education Academy, Lam Luk Ka, 5 working daysData analyze for warranty management2 year experience in warranty management",5d ago
152,Senior Data Engineer,"GoPomelo Co., Ltd.",Prakanong,,20h ago
153,Business Analyst/นักวิเคราะห์ธุรกิจ,Peer Power Company Limited,Wattana,,15h ago
154,Data Analyst (Power BI & Dashboard),Regional Container Lines Public Company Limited,Yannawa,Power BIData AnalystData-collecting,5d ago
155,DC Income Analyst (Logistic experienced Preferably ),Lotus's,Beungkum,"DC Income Planning & Costing Model PreparationGood analytical & numerical skillsExcel, Pivot, Vlookup, Index, PowerBI, SQL",20h ago
156,Data Analyst,JAC Personnel Recruitment Ltd,Phrachinburi,"Specialisation: Information TechnologyLocation : Prachin BuriSalary:  ฿90,000 - ฿100,000",5d ago
157,Data Analyst,VS Chem (1970) Ltd.,Pathumwan,,5d ago
158,Senior Data Analytics,"Deloitte Touche Tohmatsu Jaiyos Co., Ltd.",Sathorn,"Python / SQLAnalytical software (e.g. Tableau, PowerBI)Ability to analyze and break down complex concept",4d ago
159,"Data Analyst/นักวิเคราะห์ระบบข้อมูล (Data Analyst, BI)","Hi-Tech Apparel Co., Ltd.",Tung-kru,"SQL, ReportingpythonC#",5d ago
160,Data Platform Engineer,LINE MAN Wongnai,Klongtoey,"2+ years experience in custom ETL design2+ years on hand-on development codingStrong SQL skills, especially in the area of data",20h ago
161,IT System Analyst,"SCB TECH X CO., LTD.",Jatuchak,"Analyze business requirements, system analyst4 years above of experience in SAdesign feature, system",15h ago
162,Data Analyst,KASIKORNBANK PUBLIC COMPANY LIMITED,Wattana,"Data AnalyticsSQL, Python, Qlik SenseMaster degree in Computer Science, Statistics, MIS",5d ago
163,Business Intelligence/Data Engineer (Good Pay) x 3 positions,"Aventurine Recruitment Co ., Ltd.",Phayathai,"Business IntelligenceComputer Science, Computer EngineeringData Management",20h ago
164,"Manager, HR Data Analyst","Berli Jucker Public Co., Ltd.",Klongtoey,"HR Data Analyst / HRIS roleProficiency with SQL such as PostgreSQL, Oracle DBPrepares and develops HR analytic reports",4d ago
165,Senior Analyst / Assistant Manager – Data Analytics Strategist - Strategy Department,The Stock Exchange of Thailand,Dindaeng,ปริญญาโทสาขา Computer Engineeringมีประสบการณ์ 2 ปีขึ้นไปมีความสามารถในการใช้ภาษาอังกฤษได้ดี,3d ago
